"Step","GPR - train_loss/total_loss","GPR - train_loss/total_loss__MIN","GPR - train_loss/total_loss__MAX","APPNP - train_loss/total_loss","APPNP - train_loss/total_loss__MIN","APPNP - train_loss/total_loss__MAX","2HopConv - train_loss/total_loss","2HopConv - train_loss/total_loss__MIN","2HopConv - train_loss/total_loss__MAX","NewConvForm - train_loss/total_loss","NewConvForm - train_loss/total_loss__MIN","NewConvForm - train_loss/total_loss__MAX","Base-SwinT - train_loss/total_loss","Base-SwinT - train_loss/total_loss__MIN","Base-SwinT - train_loss/total_loss__MAX"
"42","34.07806387724122","34.07806387724122","34.07806387724122","43.107900185510516","43.107900185510516","43.107900185510516","39.63874706719071","39.63874706719071","39.63874706719071","49.078934810473584","49.078934810473584","49.078934810473584","45.41426113381749","45.41426113381749","45.41426113381749"
"43","31.44056118489243","31.44056118489243","31.44056118489243","39.769477017456666","39.769477017456666","39.769477017456666","37.02254329127027","37.02254329127027","37.02254329127027","47.34520216367673","47.34520216367673","47.34520216367673","46.68515043752268","46.68515043752268","46.68515043752268"
"44","31.941817559447372","31.941817559447372","31.941817559447372","39.35157726635225","39.35157726635225","39.35157726635225","34.145131224242505","34.145131224242505","34.145131224242505","45.91226415184792","45.91226415184792","45.91226415184792","47.875729301187675","47.875729301187675","47.875729301187675"
"45","29.476325750089018","29.476325750089018","29.476325750089018","31.80517022148706","31.80517022148706","31.80517022148706","36.84402827138547","36.84402827138547","36.84402827138547","48.568685211765114","48.568685211765114","48.568685211765114","46.21879656257806","46.21879656257806","46.21879656257806"
"46","49.737323813838884","49.737323813838884","49.737323813838884","37.5748198251822","37.5748198251822","37.5748198251822","38.81052718125284","38.81052718125284","38.81052718125284","47.90864577278262","47.90864577278262","47.90864577278262","46.79438295145519","46.79438295145519","46.79438295145519"
"47","28.74008582625538","28.74008582625538","28.74008582625538","33.040632033895236","33.040632033895236","33.040632033895236","45.66652721405262","45.66652721405262","45.66652721405262","50.52603141410509","50.52603141410509","50.52603141410509","46.15843301115092","46.15843301115092","46.15843301115092"
"48","34.6573498674843","34.6573498674843","34.6573498674843","36.268977138679475","36.268977138679475","36.268977138679475","33.97216756112175","33.97216756112175","33.97216756112175","49.28541528066853","49.28541528066853","49.28541528066853","50.050012445950415","50.050012445950415","50.050012445950415"
"49","37.85998386889696","37.85998386889696","37.85998386889696","33.272724118694896","33.272724118694896","33.272724118694896","39.13672039596713","39.13672039596713","39.13672039596713","46.91651244240347","46.91651244240347","46.91651244240347","48.11770585819613","48.11770585819613","48.11770585819613"
"50","27.737027180497535","27.737027180497535","27.737027180497535","33.083308104018215","33.083308104018215","33.083308104018215","39.8614440188976","39.8614440188976","39.8614440188976","44.873808852164075","44.873808852164075","44.873808852164075","48.68341733288253","48.68341733288253","48.68341733288253"
"51","33.27889401675202","33.27889401675202","33.27889401675202","31.068996696034446","31.068996696034446","31.068996696034446","34.55448706223979","34.55448706223979","34.55448706223979","46.151075593428686","46.151075593428686","46.151075593428686","47.044132595765404","47.044132595765404","47.044132595765404"
"52","37.0717319578398","37.0717319578398","37.0717319578398","31.335114616551436","31.335114616551436","31.335114616551436","35.49687366114813","35.49687366114813","35.49687366114813","48.099904758506455","48.099904758506455","48.099904758506455","46.26371958327945","46.26371958327945","46.26371958327945"
"53","38.674314977251925","38.674314977251925","38.674314977251925","38.808216365403496","38.808216365403496","38.808216365403496","40.51092422474176","40.51092422474176","40.51092422474176","44.55995292647276","44.55995292647276","44.55995292647276","46.727688265789766","46.727688265789766","46.727688265789766"
"54","30.950797667494044","30.950797667494044","30.950797667494044","30.84149492206052","30.84149492206052","30.84149492206052","35.4740534380544","35.4740534380544","35.4740534380544","46.46293297584634","46.46293297584634","46.46293297584634","48.48454687971389","48.48454687971389","48.48454687971389"
"55","29.65302379516652","29.65302379516652","29.65302379516652","34.19913252838887","34.19913252838887","34.19913252838887","37.350162498420104","37.350162498420104","37.350162498420104","47.62101814954076","47.62101814954076","47.62101814954076","46.68235324899433","46.68235324899433","46.68235324899433"
"56","31.837776687461883","31.837776687461883","31.837776687461883","27.250369386281818","27.250369386281818","27.250369386281818","38.12265291772201","38.12265291772201","38.12265291772201","44.01461824058788","44.01461824058788","44.01461824058788","48.34087628999259","48.34087628999259","48.34087628999259"
"57","36.95796380325919","36.95796380325919","36.95796380325919","35.879143880767515","35.879143880767515","35.879143880767515","36.33402892650338","36.33402892650338","36.33402892650338","41.643607718579005","41.643607718579005","41.643607718579005","49.165643797430675","49.165643797430675","49.165643797430675"
"58","29.230702122091316","29.230702122091316","29.230702122091316","34.81415303522954","34.81415303522954","34.81415303522954","34.46309959635255","34.46309959635255","34.46309959635255","46.72153773903847","46.72153773903847","46.72153773903847","47.412894030916505","47.412894030916505","47.412894030916505"
"59","34.11837659627781","34.11837659627781","34.11837659627781","34.43520982284099","34.43520982284099","34.43520982284099","32.536093767150305","32.536093767150305","32.536093767150305","39.56934486335376","39.56934486335376","39.56934486335376","48.36080451251473","48.36080451251473","48.36080451251473"
"60","30.735811636783183","30.735811636783183","30.735811636783183","26.842321753967553","26.842321753967553","26.842321753967553","28.717376840329962","28.717376840329962","28.717376840329962","42.84116529877065","42.84116529877065","42.84116529877065","47.034435066452716","47.034435066452716","47.034435066452716"
"61","27.059071698226035","27.059071698226035","27.059071698226035","31.41436380101368","31.41436380101368","31.41436380101368","31.075536385149462","31.075536385149462","31.075536385149462","39.924867675988935","39.924867675988935","39.924867675988935","46.81855354132131","46.81855354132131","46.81855354132131"
"62","30.426358468830585","30.426358468830585","30.426358468830585","25.388867838541046","25.388867838541046","25.388867838541046","39.47215820546262","39.47215820546262","39.47215820546262","39.226266773592215","39.226266773592215","39.226266773592215","46.026943640667014","46.026943640667014","46.026943640667014"
"63","30.166190751362592","30.166190751362592","30.166190751362592","27.636692073661834","27.636692073661834","27.636692073661834","32.56509342297795","32.56509342297795","32.56509342297795","38.682617470039986","38.682617470039986","38.682617470039986","46.48685428505996","46.48685428505996","46.48685428505996"
"64","28.685769365169108","28.685769365169108","28.685769365169108","28.958347440464422","28.958347440464422","28.958347440464422","31.205400681414176","31.205400681414176","31.205400681414176","37.48428947752109","37.48428947752109","37.48428947752109","49.20491609390592","49.20491609390592","49.20491609390592"
"65","18.971046136692166","18.971046136692166","18.971046136692166","31.70231153606437","31.70231153606437","31.70231153606437","42.49015136634989","42.49015136634989","42.49015136634989","39.861666243115906","39.861666243115906","39.861666243115906","45.59094562733662","45.59094562733662","45.59094562733662"
"66","32.6915701427497","32.6915701427497","32.6915701427497","29.02373749576509","29.02373749576509","29.02373749576509","37.0912026540027","37.0912026540027","37.0912026540027","41.97911068453686","41.97911068453686","41.97911068453686","44.924134704691824","44.924134704691824","44.924134704691824"
"67","26.697535985149443","26.697535985149443","26.697535985149443","30.278139220550656","30.278139220550656","30.278139220550656","38.95921495385119","38.95921495385119","38.95921495385119","39.42868649191223","39.42868649191223","39.42868649191223","46.77871215296909","46.77871215296909","46.77871215296909"
"68","28.99988908134401","28.99988908134401","28.99988908134401","26.326979950536042","26.326979950536042","26.326979950536042","31.798300698879757","31.798300698879757","31.798300698879757","38.89544839103473","38.89544839103473","38.89544839103473","47.01914859004319","47.01914859004319","47.01914859004319"
"69","28.4668362212833","28.4668362212833","28.4668362212833","29.791018875082955","29.791018875082955","29.791018875082955","29.83818891606643","29.83818891606643","29.83818891606643","37.00611548384768","37.00611548384768","37.00611548384768","48.38505903404439","48.38505903404439","48.38505903404439"
"70","24.427486567758024","24.427486567758024","24.427486567758024","29.60149369155988","29.60149369155988","29.60149369155988","35.55484084965428","35.55484084965428","35.55484084965428","39.69358766745427","39.69358766745427","39.69358766745427","47.506155122158816","47.506155122158816","47.506155122158816"
"71","25.09689676016569","25.09689676016569","25.09689676016569","27.031124100554734","27.031124100554734","27.031124100554734","30.59807374700904","30.59807374700904","30.59807374700904","40.040326602960704","40.040326602960704","40.040326602960704","46.47531821276061","46.47531821276061","46.47531821276061"
